original,translated
"""Unspecified abortion, complicated by genital tract and pelvic infection, complete""","""Unspecified abortion, complicated by genital tract and pelvic infection, complete"""
"""Unspecified abortion, complicated by genital tract and pelvic infection, unspecified""","""Unspecified abortion, complicated by genital tract and pelvic infection, unspecified"""
"""Abrasion or friction burn of finger(s), infected""","""Abrasion or friction burn of finger(s), infected"""
"""Abrasion or friction burn of shoulder and upper arm, infected""","""Abrasion or friction burn of shoulder and upper arm, infected"""
Absence of muscle and tendon,Absence of muscle and tendon
"""Perpetrator of child and adult abuse, by father, stepfather, or boyfriend""","""Perpetrator of child and adult abuse, by father, stepfather, or boyfriend"""
"""Perpetrator of child and adult abuse, by mother, stepmother, or girlfriend""","""Perpetrator of child and adult abuse, by mother, stepmother, or girlfriend"""
Acute venous embolism and thrombosis of deep vessels of distal lower extremity,Acute venous embolism and thrombosis of deep vessels of distal lower extremity
Acute amebic dysentery without mention of abscess,Acute amebic dysentery without mention of abscess
Acute atopic conjunctivitis,Acute atopic conjunctivitis
"""Acute paralytic poliomyelitis specified as bulbar, poliovirus, unspecified type""","""Acute paralytic poliomyelitis specified as bulbar, poliovirus, unspecified type"""
Other generalized ischemic cerebrovascular disease,Other generalized ischemic cerebrovascular disease
Acute diastolic heart failure,Acute diastolic heart failure
"""Acute duodenal ulcer with hemorrhage and perforation, with obstruction""","""Acute duodenal ulcer with hemorrhage and perforation, with obstruction"""
"""Acute duodenal ulcer with perforation, with obstruction""","""Acute duodenal ulcer with perforation, with obstruction"""
"""Acute duodenal ulcer with hemorrhage, with obstruction""","""Acute duodenal ulcer with hemorrhage, with obstruction"""
"""Acute duodenal ulcer with hemorrhage and perforation, without mention of obstruction""","""Acute duodenal ulcer with hemorrhage and perforation, without mention of obstruction"""
"""Acute duodenal ulcer without mention of hemorrhage or perforation, with obstruction""","""Acute duodenal ulcer without mention of hemorrhage or perforation, with obstruction"""
"""Acute duodenal ulcer with perforation, without mention of obstruction""","""Acute duodenal ulcer with perforation, without mention of obstruction"""
Acute venous embolism and thrombosis of internal jugular veins,Acute venous embolism and thrombosis of internal jugular veins
Acute venous embolism and thrombosis of axillary veins,Acute venous embolism and thrombosis of axillary veins
Acute and subacute infective endocarditis in diseases classified elsewhere,Acute and subacute infective endocarditis in diseases classified elsewhere
Acute epiglottitis without mention of obstruction,Acute epiglottitis without mention of obstruction
"""Acute erythremia and erythroleukemia, without mention of having achieved remission""","""Acute erythremia and erythroleukemia, without mention of having achieved remission"""
"""Acute erythremia and erythroleukemia, in relapse""","""Acute erythremia and erythroleukemia, in relapse"""
Acute follicular conjunctivitis,Acute follicular conjunctivitis
Acute graft-versus-host disease,Acute graft-versus-host disease
Acute idiopathic pulmonary hemorrhage in infants [AIPHI],Acute idiopathic pulmonary hemorrhage in infants [AIPHI]
Acute idiopathic pericarditis,Acute idiopathic pericarditis
"""Acute infection following transfusion, infusion, or injection of blood and blood products""","""Acute infection following transfusion, infusion, or injection of blood and blood products"""
Other acute infections of external ear,Other acute infections of external ear
"""Acute kidney failure following labor and delivery, delivered, with mention of postpartum complication""","""Acute kidney failure following labor and delivery, delivered, with mention of postpartum complication"""
"""Acute kidney failure following labor and delivery, unspecified as to episode of care or not applicable""","""Acute kidney failure following labor and delivery, unspecified as to episode of care or not applicable"""
Acute kidney failure with lesion of renal cortical necrosis,Acute kidney failure with lesion of renal cortical necrosis
Acute kidney failure with lesion of renal medullary [papillary] necrosis,Acute kidney failure with lesion of renal medullary [papillary] necrosis
Acute kidney failure with lesion of tubular necrosis,Acute kidney failure with lesion of tubular necrosis
Acute laryngitis with obstruction,Acute laryngitis with obstruction
Acute laryngotracheitis without mention of obstruction,Acute laryngotracheitis without mention of obstruction
"""Acute leukemia of unspecified cell type, without mention of having achieved remission""","""Acute leukemia of unspecified cell type, without mention of having achieved remission"""
"""Acute lymphoid leukemia, without mention of having achieved remission""","""Acute lymphoid leukemia, without mention of having achieved remission"""
"""Acute gastrojejunal ulcer with hemorrhage and perforation, with obstruction""","""Acute gastrojejunal ulcer with hemorrhage and perforation, with obstruction"""
"""Acute gastrojejunal ulcer, with hemorrhage, with obstruction""","""Acute gastrojejunal ulcer, with hemorrhage, with obstruction"""
"""Acute gastrojejunal ulcer with hemorrhage and perforation, without mention of obstruction""","""Acute gastrojejunal ulcer with hemorrhage and perforation, without mention of obstruction"""
"""Acute gastrojejunal ulcer with perforation, with obstruction""","""Acute gastrojejunal ulcer with perforation, with obstruction"""
"""Acute gastrojejunal ulcer without mention of hemorrhage or perforation, with obstruction""","""Acute gastrojejunal ulcer without mention of hemorrhage or perforation, with obstruction"""
"""Acute gastrojejunal ulcer with perforation, without mention of obstruction""","""Acute gastrojejunal ulcer with perforation, without mention of obstruction"""
Acute mastoiditis without complications,Acute mastoiditis without complications
Acute mastoiditis with other complications,Acute mastoiditis with other complications
"""Acute monocytic leukemia, without mention of having achieved remission""","""Acute monocytic leukemia, without mention of having achieved remission"""
"""Acute myeloid leukemia, without mention of having achieved remission""","""Acute myeloid leukemia, without mention of having achieved remission"""
"""Acute nonsuppurative otitis media, unspecified""","""Acute nonsuppurative otitis media, unspecified"""
Acute on chronic diastolic heart failure,Acute on chronic diastolic heart failure
"""Acute osteomyelitis, forearm""","""Acute osteomyelitis, forearm"""
"""Acute peptic ulcer of unspecified site with hemorrhage and perforation, with obstruction""","""Acute peptic ulcer of unspecified site with hemorrhage and perforation, with obstruction"""
"""Acute peptic ulcer of unspecified site with hemorrhage, with obstruction""","""Acute peptic ulcer of unspecified site with hemorrhage, with obstruction"""
"""Acute peptic ulcer of unspecified site with hemorrhage and perforation, without mention of obstruction""","""Acute peptic ulcer of unspecified site with hemorrhage and perforation, without mention of obstruction"""
"""Acute peptic ulcer of unspecified site with perforation, with obstruction""","""Acute peptic ulcer of unspecified site with perforation, with obstruction"""
"""Acute peptic ulcer of unspecified site without mention of hemorrhage and perforation, with obstruction""","""Acute peptic ulcer of unspecified site without mention of hemorrhage and perforation, with obstruction"""
"""Acute peptic ulcer of unspecified site with hemorrhage, without mention of obstruction""","""Acute peptic ulcer of unspecified site with hemorrhage, without mention of obstruction"""
"""Acute peptic ulcer of unspecified site with perforation, without mention of obstruction""","""Acute peptic ulcer of unspecified site with perforation, without mention of obstruction"""
Acute pericarditis in diseases classified elsewhere,Acute pericarditis in diseases classified elsewhere
Acute pyelonephritis with lesion of renal medullary necrosis,Acute pyelonephritis with lesion of renal medullary necrosis
Acute glomerulonephritis with lesion of rapidly progressive glomerulonephritis,Acute glomerulonephritis with lesion of rapidly progressive glomerulonephritis
Acute respiratory failure following trauma and surgery,Acute respiratory failure following trauma and surgery
Acute rheumatic myocarditis,Acute rheumatic myocarditis
"""Acute gastric ulcer with hemorrhage and perforation, with obstruction""","""Acute gastric ulcer with hemorrhage and perforation, with obstruction"""
"""Acute gastric ulcer with hemorrhage, with obstruction""","""Acute gastric ulcer with hemorrhage, with obstruction"""
"""Acute gastric ulcer with hemorrhage and perforation, without mention of obstruction""","""Acute gastric ulcer with hemorrhage and perforation, without mention of obstruction"""
"""Acute gastric ulcer without mention of hemorrhage or perforation, with obstruction""","""Acute gastric ulcer without mention of hemorrhage or perforation, with obstruction"""
Acute suppurative otitis media without spontaneous rupture of eardrum,Acute suppurative otitis media without spontaneous rupture of eardrum
Acute combined systolic and diastolic heart failure,Acute combined systolic and diastolic heart failure
Acute tracheitis without mention of obstruction,Acute tracheitis without mention of obstruction
Acute tracheitis with obstruction,Acute tracheitis with obstruction
Acute vascular insufficiency of intestine,Acute vascular insufficiency of intestine
Acute and chronic respiratory failure following trauma and surgery,Acute and chronic respiratory failure following trauma and surgery
Acute on chronic combined systolic and diastolic heart failure,Acute on chronic combined systolic and diastolic heart failure
Academic underachievement disorder of childhood or adolescence,Academic underachievement disorder of childhood or adolescence
Specific academic or work inhibition,Specific academic or work inhibition
"""Accidental cut, puncture, perforation or hemorrhage during injection or vaccination""","""Accidental cut, puncture, perforation or hemorrhage during injection or vaccination"""
"""Accidental cut, puncture, perforation or hemorrhage during aspiration of fluid or tissue, puncture, and catheterization""","""Accidental cut, puncture, perforation or hemorrhage during aspiration of fluid or tissue, puncture, and catheterization"""
"""Accidental cut, puncture, perforation or hemorrhage during heart catheterization""","""Accidental cut, puncture, perforation or hemorrhage during heart catheterization"""
"""Accidental cut, puncture, perforation or hemorrhage during endoscopic examination""","""Accidental cut, puncture, perforation or hemorrhage during endoscopic examination"""
Prolonged stay in weightless environment,Prolonged stay in weightless environment
Accidental poisoning by other and unspecified agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers,Accidental poisoning by other and unspecified agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers
Accidental poisoning by butyrophenone-based tranquilizers,Accidental poisoning by butyrophenone-based tranquilizers
Accidental poisoning by carbon monoxide from other sources,Accidental poisoning by carbon monoxide from other sources
Accidental poisoning by unspecified carbon monoxide,Accidental poisoning by unspecified carbon monoxide
Accidental poisoning by insecticides of organochlorine compounds,Accidental poisoning by insecticides of organochlorine compounds
Accidental poisoning by carbon monoxide from incomplete combustion of other domestic fuels,Accidental poisoning by carbon monoxide from incomplete combustion of other domestic fuels
Accidental poisoning by corrosive aromatics not elsewhere classified,Accidental poisoning by corrosive aromatics not elsewhere classified
Accidental poisoning by lubricating oils,Accidental poisoning by lubricating oils
Accidental poisoning by other anti-infectives,Accidental poisoning by other anti-infectives
Accidental poisoning by petroleum solids,Accidental poisoning by petroleum solids
Accidental poisoning by phenothiazine-based tranquilizers,Accidental poisoning by phenothiazine-based tranquilizers
Accidental poisoning by insecticides of organophosphorus compounds,Accidental poisoning by insecticides of organophosphorus compounds
Accidental poisoning by synthetic detergents and shampoos,Accidental poisoning by synthetic detergents and shampoos
Accidental poisoning by other and unspecified utility gas,Accidental poisoning by other and unspecified utility gas
Accidental poisoning by other psychotropic agents,Accidental poisoning by other psychotropic agents
Accidental poisoning by alcoholic beverages,Accidental poisoning by alcoholic beverages
Accidental poisoning by anticonvulsant and anti-parkinsonism drugs,Accidental poisoning by anticonvulsant and anti-parkinsonism drugs
Accidental poisoning by benzodiazepine-based tranquilizers,Accidental poisoning by benzodiazepine-based tranquilizers
Accidental poisoning by agents primarily affecting cardiovascular system,Accidental poisoning by agents primarily affecting cardiovascular system
Accidental poisoning by caustic alkalis not elsewhere classified,Accidental poisoning by caustic alkalis not elsewhere classified
Accidental poisoning by chloral hydrate group,Accidental poisoning by chloral hydrate group
Accidental poisoning by other central nervous system depressants,Accidental poisoning by other central nervous system depressants
Accidental poisoning from unspecified foodstuff or poisonous plant,Accidental poisoning from unspecified foodstuff or poisonous plant
Accidental poisoning by local anesthetics,Accidental poisoning by local anesthetics
Accidental poisoning by methyl alcohol,Accidental poisoning by methyl alcohol
Accidental poisoning by mixtures of insecticides,Accidental poisoning by mixtures of insecticides
Accidental poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system,Accidental poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system
Accidental poisoning by nitrogen oxides,Accidental poisoning by nitrogen oxides
Accidental poisoning by petroleum solvents,Accidental poisoning by petroleum solvents
Accidental poisoning by petroleum fuels and cleaners,Accidental poisoning by petroleum fuels and cleaners
Accidental poisoning by psychostimulants,Accidental poisoning by psychostimulants
"""Accidental poisoning by agents primarily affecting skin and mucous membrane, ophthalmological, otorhinolaryngological, and dental drugs""","""Accidental poisoning by agents primarily affecting skin and mucous membrane, ophthalmological, otorhinolaryngological, and dental drugs"""
Accidental poisoning by sulfur dioxide,Accidental poisoning by sulfur dioxide
Accidental poisoning by sympatholytics [antiadrenergics],Accidental poisoning by sympatholytics [antiadrenergics]
Accidental poisoning by primarily systemic agents,Accidental poisoning by primarily systemic agents
Accidental poisoning by other specified tranquilizers,Accidental poisoning by other specified tranquilizers
Accidental poisoning by unspecified tranquilizer,Accidental poisoning by unspecified tranquilizer
Accidental poisoning by other specified analgesics and antipyretics,Accidental poisoning by other specified analgesics and antipyretics
Accidental poisoning by unspecified analgesic or antipyretic,Accidental poisoning by unspecified analgesic or antipyretic
Accidental poisoning by antidepressants,Accidental poisoning by antidepressants
Accidental poisoning by antirheumatics (antiphlogistics),Accidental poisoning by antirheumatics (antiphlogistics)
"""Accidental poisoning by aromatic analgesics, not elsewhere classified""","""Accidental poisoning by aromatic analgesics, not elsewhere classified"""
Accidental poisoning from berries and seeds,Accidental poisoning from berries and seeds
Accidental poisoning by bromine compounds,Accidental poisoning by bromine compounds
Accidental poisoning by central nervous system stimulants,Accidental poisoning by central nervous system stimulants
Accidental poisoning by disinfectants,Accidental poisoning by disinfectants
Accidental poisoning by other and unspecified ethyl alcohol and its products,Accidental poisoning by other and unspecified ethyl alcohol and its products
Accidental poisoning by other specified gases and vapors,Accidental poisoning by other specified gases and vapors
Accidental poisoning by unspecified gases and vapors,Accidental poisoning by unspecified gases and vapors
Accidental poisoning by psychodysleptics [hallucinogens],Accidental poisoning by psychodysleptics [hallucinogens]
"""Accidental poisoning by mixed sedatives, not elsewhere classified""","""Accidental poisoning by mixed sedatives, not elsewhere classified"""
Accidental poisoning by other non-narcotic analgesics,Accidental poisoning by other non-narcotic analgesics
Accidental poisoning by other and unspecified insecticides,Accidental poisoning by other and unspecified insecticides
Accidental poisoning by pyrazole derivatives,Accidental poisoning by pyrazole derivatives
Accidental poisoning by other specified sedatives and hypnotics,Accidental poisoning by other specified sedatives and hypnotics
Accidental poisoning by unspecified sedative or hypnotic,Accidental poisoning by unspecified sedative or hypnotic
Accidental poisoning by soap products,Accidental poisoning by soap products
Accidents caused by powered household appliances and implements,Accidents caused by powered household appliances and implements
Disorders of accessory [11th] nerve,Disorders of accessory [11th] nerve
Accessory salivary gland,Accessory salivary gland
Accidents occurring in place for recreation and sport,Accidents occurring in place for recreation and sport
Accidents occurring in residential institution,Accidents occurring in residential institution
"""Accidental puncture or laceration during a procedure, not elsewhere classified""","""Accidental puncture or laceration during a procedure, not elsewhere classified"""
"""Environmental and accidental causes, mechanism or component of firearm and air gun""","""Environmental and accidental causes, mechanism or component of firearm and air gun"""
Acid chemical burn of cornea and conjunctival sac,Acid chemical burn of cornea and conjunctival sac
Disorders of acoustic nerve,Disorders of acoustic nerve
Acquired absence of uterus with remaining cervical stump,Acquired absence of uterus with remaining cervical stump
Acquired absence of hip joint,Acquired absence of hip joint
Other acquired absence of organ,Other acquired absence of organ
Acquired absence of other joint,Acquired absence of other joint
"""Acquired absence of teeth, unspecified""","""Acquired absence of teeth, unspecified"""
"""Acquired absence of organ, other parts of urinary tract""","""Acquired absence of organ, other parts of urinary tract"""
Acquired absence of cervix with remaining uterus,Acquired absence of cervix with remaining uterus
Acquired absence of breast and nipple,Acquired absence of breast and nipple
Acquired absence of both cervix and uterus,Acquired absence of both cervix and uterus
"""Acquired absence of organ, genital organs""","""Acquired absence of organ, genital organs"""
Acquired acanthosis nigricans,Acquired acanthosis nigricans
Acquired atrophy of ovary and fallopian tube,Acquired atrophy of ovary and fallopian tube
Acquired auditory processing disorder,Acquired auditory processing disorder
Acquired cardiac septal defect,Acquired cardiac septal defect
Acquired deformities of auricle or pinna,Acquired deformities of auricle or pinna
Other acquired deformities of toe,Other acquired deformities of toe
Unspecified acquired deformity of toe,Unspecified acquired deformity of toe
"""Diverticulum of esophagus, acquired""","""Diverticulum of esophagus, acquired"""
Other acquired deformities of finger,Other acquired deformities of finger
Unspecified deformity of finger,Unspecified deformity of finger
"""Acquired hemolytic anemia, unspecified""","""Acquired hemolytic anemia, unspecified"""
Acquired partial absence of pancreas,Acquired partial absence of pancreas
"""Acquired stenosis of external ear canal, unspecified as to cause""","""Acquired stenosis of external ear canal, unspecified as to cause"""
Other acquired torsion dystonia,Other acquired torsion dystonia
Acquired total absence of pancreas,Acquired total absence of pancreas
Acquired absence of intestine (large) (small),Acquired absence of intestine (large) (small)
Other specified acquired hypothyroidism,Other specified acquired hypothyroidism
Acquired night blindness,Acquired night blindness
Acromegaly and gigantism,Acromegaly and gigantism
Acute dermatitis due to solar radiation,Acute dermatitis due to solar radiation
"""Acute lymphoid leukemia, in relapse""","""Acute lymphoid leukemia, in relapse"""
"""Acute monocytic leukemia, in relapse""","""Acute monocytic leukemia, in relapse"""
"""Acute myeloid leukemia, in relapse""","""Acute myeloid leukemia, in relapse"""
Acute and chronic cholecystitis,Acute and chronic cholecystitis
"""Active M?ni?re's disease, cochlear""","""Active M?ni?re's disease, cochlear"""
Actinic reticuloid and actinic granuloma,Actinic reticuloid and actinic granuloma
"""Active M?ni?re's disease, vestibular""","""Active M?ni?re's disease, vestibular"""
"""Active M?ni?re's disease, cochleovestibular""","""Active M?ni?re's disease, cochleovestibular"""
Acute bronchiolitis due to other infectious organisms,Acute bronchiolitis due to other infectious organisms
Acute bronchiolitis due to respiratory syncytial virus (RSV),Acute bronchiolitis due to respiratory syncytial virus (RSV)
Acute and chronic respiratory failure,Acute and chronic respiratory failure
Acute angle-closure glaucoma,Acute angle-closure glaucoma
"""Acute conjunctivitis, unspecified""","""Acute conjunctivitis, unspecified"""
"""Acute duodenal ulcer without mention of hemorrhage or perforation, without mention of obstruction""","""Acute duodenal ulcer without mention of hemorrhage or perforation, without mention of obstruction"""
Acute dystonia due to drugs,Acute dystonia due to drugs
"""Acute gastritis, without mention of hemorrhage""","""Acute gastritis, without mention of hemorrhage"""
Gonococcal infection (acute) of lower genitourinary tract,Gonococcal infection (acute) of lower genitourinary tract
"""Acute gingivitis, plaque induced""","""Acute gingivitis, plaque induced"""
Acute infection of pinna,Acute infection of pinna
Acute interstitial pneumonitis,Acute interstitial pneumonitis
Acute kidney failure with other specified pathological lesion in kidney,Acute kidney failure with other specified pathological lesion in kidney
"""Acute kidney failure, unspecified""","""Acute kidney failure, unspecified"""
Acute laryngopharyngitis,Acute laryngopharyngitis
"""Acute miliary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture""","""Acute miliary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"""
"""Acute miliary tuberculosis, bacteriological or histological examination not done""","""Acute miliary tuberculosis, bacteriological or histological examination not done"""
Other acute otitis externa,Other acute otitis externa
Acute pain due to trauma,Acute pain due to trauma
Acute post-thoracotomy pain,Acute post-thoracotomy pain
Acute respiratory failure,Acute respiratory failure
Acute rheumatic endocarditis,Acute rheumatic endocarditis
Acute rheumatic pericarditis,Acute rheumatic pericarditis
Acute upper respiratory infections of other multiple sites,Acute upper respiratory infections of other multiple sites
Adhesions of drum head to stapes,Adhesions of drum head to stapes
Adhesive capsulitis of shoulder,Adhesive capsulitis of shoulder
Other middle ear adhesions and combinations,Other middle ear adhesions and combinations
"""Adhesive middle ear disease, unspecified as to involvement""","""Adhesive middle ear disease, unspecified as to involvement"""
Fitting and adjustment of other devices related to nervous system and special senses,Fitting and adjustment of other devices related to nervous system and special senses
Adjustment disorder with mixed anxiety and depressed mood,Adjustment disorder with mixed anxiety and depressed mood
Adjustment disorder with disturbance of conduct,Adjustment disorder with disturbance of conduct
Adjustment disorder with anxiety,Adjustment disorder with anxiety
Fitting and adjustment of wheelchair,Fitting and adjustment of wheelchair
Adjustment disorder with depressed mood,Adjustment disorder with depressed mood
Adult pulmonary Langerhans cell histiocytosis,Adult pulmonary Langerhans cell histiocytosis
Encounters for other specified administrative purpose,Encounters for other specified administrative purpose
Encounters for unspecified administrative purpose,Encounters for unspecified administrative purpose
Adolescent postural kyphosis,Adolescent postural kyphosis
"""Injury to other intra-abdominal organs with open wound into cavity, adrenal gland""","""Injury to other intra-abdominal organs with open wound into cavity, adrenal gland"""
Other adrenal hypofunction,Other adrenal hypofunction
Adult emotional/psychological abuse,Adult emotional/psychological abuse
Adult onset fluency disorder,Adult onset fluency disorder
Acidifying agents causing adverse effects in therapeutic use,Acidifying agents causing adverse effects in therapeutic use
Alkalizing agents causing adverse effects in therapeutic use,Alkalizing agents causing adverse effects in therapeutic use
Other and unspecified anticonvulsants causing adverse effects in therapeutic use,Other and unspecified anticonvulsants causing adverse effects in therapeutic use
Anti-common cold drugs causing adverse effects in therapeutic use,Anti-common cold drugs causing adverse effects in therapeutic use
Antidiarrheal drugs causing adverse effects in therapeutic use,Antidiarrheal drugs causing adverse effects in therapeutic use
Antifungal antibiotics causing adverse effects in therapeutic use,Antifungal antibiotics causing adverse effects in therapeutic use
Other antihypertensive agents causing adverse effects in therapeutic use,Other antihypertensive agents causing adverse effects in therapeutic use
Antineoplastic antibiotics causing adverse effects in therapeutic use,Antineoplastic antibiotics causing adverse effects in therapeutic use
Other and unspecified anti-infectives causing adverse effects in therapeutic use,Other and unspecified anti-infectives causing adverse effects in therapeutic use
"""Other antipsychotics, neuroleptics, and major tranquilizers causing adverse effects in therapeutic use""","""Other antipsychotics, neuroleptics, and major tranquilizers causing adverse effects in therapeutic use"""
Antithyroid agents causing adverse effects in therapeutic use,Antithyroid agents causing adverse effects in therapeutic use
Antimycobacterial antibiotics causing adverse effects in therapeutic use,Antimycobacterial antibiotics causing adverse effects in therapeutic use
Other antiprotozoal drugs causing adverse effects in therapeutic use,Other antiprotozoal drugs causing adverse effects in therapeutic use
"""Aromatic analgesics, not elsewhere classified, causing adverse effects in therapeutic use""","""Aromatic analgesics, not elsewhere classified, causing adverse effects in therapeutic use"""
Arsenical anti-infectives causing adverse effects in therapeutic use,Arsenical anti-infectives causing adverse effects in therapeutic use
Unspecified drug primarily affecting the autonomic nervous system causing adverse effects in therapeutic use,Unspecified drug primarily affecting the autonomic nervous system causing adverse effects in therapeutic use
Other and unspecified bacterial vaccines causing adverse effects in therapeutic use,Other and unspecified bacterial vaccines causing adverse effects in therapeutic use
Other and unspecified vaccines and biological substances causing adverse effects in therapeutic use,Other and unspecified vaccines and biological substances causing adverse effects in therapeutic use
Butyrophenone-based tranquilizers causing adverse effects in therapeutic use,Butyrophenone-based tranquilizers causing adverse effects in therapeutic use
Cardiac rhythm regulators causing adverse effects in therapeutic use,Cardiac rhythm regulators causing adverse effects in therapeutic use
Central nervous system muscle-tone depressants causing adverse effects in therapeutic use,Central nervous system muscle-tone depressants causing adverse effects in therapeutic use
Other specified central nervous system stimulants causing adverse effects in therapeutic use,Other specified central nervous system stimulants causing adverse effects in therapeutic use
Unspecified central nervous system stimulant causing adverse effects in therapeutic use,Unspecified central nervous system stimulant causing adverse effects in therapeutic use
Coronary vasodilators causing adverse effects in therapeutic use,Coronary vasodilators causing adverse effects in therapeutic use
Diphtheria vaccine causing adverse effects in therapeutic use,Diphtheria vaccine causing adverse effects in therapeutic use
"""Electrolytic, caloric, and water-balance agents causing adverse effects in therapeutic use""","""Electrolytic, caloric, and water-balance agents causing adverse effects in therapeutic use"""
Emollient cathartics causing adverse effects in therapeutic use,Emollient cathartics causing adverse effects in therapeutic use
"""Emollients, demulcents, and protectants causing adverse effects in therapeutic use""","""Emollients, demulcents, and protectants causing adverse effects in therapeutic use"""
"""Anti-infectives and other drugs and preparations for ear, nose, and throat causing adverse effects in therapeutic use""","""Anti-infectives and other drugs and preparations for ear, nose, and throat causing adverse effects in therapeutic use"""
Eye anti-infectives and other eye drugs causing adverse effects in therapeutic use,Eye anti-infectives and other eye drugs causing adverse effects in therapeutic use
Fibrinolysis-affecting drugs causing adverse effects in therapeutic use,Fibrinolysis-affecting drugs causing adverse effects in therapeutic use
Other gaseous anesthetics causing adverse effects in therapeutic use,Other gaseous anesthetics causing adverse effects in therapeutic use
Other and unspecified general anesthetics causing adverse effects in therapeutic use,Other and unspecified general anesthetics causing adverse effects in therapeutic use
Other and unspecified hormones and synthetic substitutes causing adverse effects in therapeutic use,Other and unspecified hormones and synthetic substitutes causing adverse effects in therapeutic use
Insulins and antidiabetic agents causing adverse effects in therapeutic use,Insulins and antidiabetic agents causing adverse effects in therapeutic use
Iron and its compounds causing adverse effects in therapeutic use,Iron and its compounds causing adverse effects in therapeutic use
Lipotropic drugs causing adverse effects in therapeutic use,Lipotropic drugs causing adverse effects in therapeutic use
Liver preparations and other antianemic agents causing adverse effects in therapeutic use,Liver preparations and other antianemic agents causing adverse effects in therapeutic use
Other and unspecified local anesthetics causing adverse effects in therapeutic use,Other and unspecified local anesthetics causing adverse effects in therapeutic use
Local anti-infectives and anti-inflammatory drugs causing adverse effects in therapeutic use,Local anti-infectives and anti-inflammatory drugs causing adverse effects in therapeutic use
Local astringents and local detergents causing adverse effects in therapeutic use,Local astringents and local detergents causing adverse effects in therapeutic use
"""Unspecified adverse effect of other drug, medicinal and biological substance""","""Unspecified adverse effect of other drug, medicinal and biological substance"""
"""Unspecified adverse effect of unspecified drug, medicinal and biological substance""","""Unspecified adverse effect of unspecified drug, medicinal and biological substance"""
Mercurial diuretics causing adverse effects in therapeutic use,Mercurial diuretics causing adverse effects in therapeutic use
"""Other mineral salts, not elsewhere classified, causing adverse effects in therapeutic use""","""Other mineral salts, not elsewhere classified, causing adverse effects in therapeutic use"""
"""Mixed bacterial vaccines, except combinations with a pertussis component, causing adverse effects in therapeutic use""","""Mixed bacterial vaccines, except combinations with a pertussis component, causing adverse effects in therapeutic use"""
"""Mixed viral-rickettsial and bacterial vaccines, except combinations with a pertussis component, causing adverse effects in therapeutic use""","""Mixed viral-rickettsial and bacterial vaccines, except combinations with a pertussis component, causing adverse effects in therapeutic use"""
Other and unspecified drugs acting on muscles causing adverse effects in therapeutic use,Other and unspecified drugs acting on muscles causing adverse effects in therapeutic use
Peripheral nerve- and plexus-blocking anesthetics causing adverse effects in therapeutic use,Peripheral nerve- and plexus-blocking anesthetics causing adverse effects in therapeutic use
Other non-narcotic analgesics causing adverse effects in therapeutic use,Other non-narcotic analgesics causing adverse effects in therapeutic use
Opiate antagonists causing adverse effects in therapeutic use,Opiate antagonists causing adverse effects in therapeutic use
Ovarian hormones and synthetic substitutes causing adverse effects in therapeutic use,Ovarian hormones and synthetic substitutes causing adverse effects in therapeutic use
Oxazolidine derivatives causing adverse effects in therapeutic use,Oxazolidine derivatives causing adverse effects in therapeutic use
Parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics causing adverse effects in therapeutic use,Parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics causing adverse effects in therapeutic use
"""Pertussis vaccine, including combinations with a pertussis component, causing adverse effects in therapeutic use""","""Pertussis vaccine, including combinations with a pertussis component, causing adverse effects in therapeutic use"""
Pharmaceutical excipients causing adverse effects in therapeutic use,Pharmaceutical excipients causing adverse effects in therapeutic use
Phenothiazine-based tranquilizers causing adverse effects in therapeutic use,Phenothiazine-based tranquilizers causing adverse effects in therapeutic use
Psychostimulants causing adverse effects in therapeutic use,Psychostimulants causing adverse effects in therapeutic use
Other psychotropic agents causing adverse effects in therapeutic use,Other psychotropic agents causing adverse effects in therapeutic use
Unspecified psychotropic agent causing adverse effects in therapeutic use,Unspecified psychotropic agent causing adverse effects in therapeutic use
Purine derivative diuretics causing adverse effects in therapeutic use,Purine derivative diuretics causing adverse effects in therapeutic use
Other and unspecified respiratory drugs causing adverse effects in therapeutic use,Other and unspecified respiratory drugs causing adverse effects in therapeutic use
Other sedatives and hypnotics causing adverse effects in therapeutic use,Other sedatives and hypnotics causing adverse effects in therapeutic use
Unspecified sedatives and hypnotics causing adverse effects in therapeutic use,Unspecified sedatives and hypnotics causing adverse effects in therapeutic use
Skeletal muscle relaxants causing adverse effects in therapeutic use,Skeletal muscle relaxants causing adverse effects in therapeutic use
Smallpox vaccine causing adverse effects in therapeutic use,Smallpox vaccine causing adverse effects in therapeutic use
Smooth muscle relaxants causing adverse effects in therapeutic use,Smooth muscle relaxants causing adverse effects in therapeutic use
Sympathomimetics [adrenergics] causing adverse effects in therapeutic use,Sympathomimetics [adrenergics] causing adverse effects in therapeutic use
